A,B,C,D,AB,AC,BC,AD,BD,CD,ABC,ABD,ACD,BCD,topology
10725.003820229154,17155.124108995195,10725.003820229154,18160.702695973567,0.0,6430.120288766043,0.0,0.0,0.0,0.0,1005.5785869783723,0.0,0.0,0.0,"(((A,C),B),D)"
17910.450946178084,18632.744587671466,18632.744587671466,17910.450946178084,0.0,0.0,4606.508210815662,5328.801852309045,0.0,0.0,0.0,0.0,0.0,0.0,"((A,D),(B,C))"
44903.62912106452,15318.0491861514,12915.241128766374,12915.241128766374,0.0,0.0,0.0,0.0,0.0,2402.8080573850257,0.0,0.0,0.0,29585.579934913123,"(((C,D),B),A)"
15366.155062872846,11641.180840346005,11641.180840346005,40670.36705119901,0.0,0.0,3724.97422252684,0.0,0.0,0.0,25304.21198832617,0.0,0.0,0.0,"(((B,C),A),D)"
11329.650673945314,11329.650673945314,18427.00806181107,11819.864205871227,490.21353192591215,0.0,0.0,0.0,0.0,0.0,0.0,6607.143855939842,0.0,0.0,"(((A,B),D),C)"
10144.403885316402,12658.33455145777,10144.403885316402,12658.33455145777,0.0,16991.88275375584,0.0,0.0,14477.952087614472,0.0,0.0,0.0,0.0,0.0,"((A,C),(B,D))"
45625.222791573855,10631.445018409408,10631.445018409408,11684.490149103694,0.0,0.0,1053.045130694286,0.0,0.0,0.0,0.0,0.0,0.0,33940.73264247016,"(((B,C),D),A)"
11280.255444670469,17294.35939487841,11280.255444670469,17294.35939487841,0.0,14208.848974166885,0.0,0.0,8194.745023958943,0.0,0.0,0.0,0.0,0.0,"((A,C),(B,D))"
24531.134148789442,30193.240020091333,11176.316384234475,11176.316384234475,0.0,0.0,0.0,0.0,0.0,13354.817764554968,0.0,0.0,5662.105871301892,0.0,"(((C,D),A),B)"
12423.941064753048,16065.812731986898,12423.941064753048,13485.427096977914,0.0,1061.4860322248667,0.0,0.0,0.0,0.0,0.0,0.0,2580.3856350089854,0.0,"(((A,C),D),B)"
17382.143786686276,12333.124556853309,17382.143786686276,12333.124556853309,0.0,5279.967654269768,0.0,0.0,10328.986884102735,0.0,0.0,0.0,0.0,0.0,"((A,C),(B,D))"
10707.472975672448,10707.472975672448,11422.681355139965,32140.220852424023,715.2083794675166,0.0,0.0,0.0,0.0,0.0,20717.53949728406,0.0,0.0,0.0,"(((A,B),C),D)"
15077.823689944344,17914.738674490498,17914.738674490498,15077.823689944344,0.0,0.0,4246.876382386761,7083.791366932915,0.0,0.0,0.0,0.0,0.0,0.0,"((A,D),(B,C))"
10243.085505204053,21227.92948867244,10243.085505204053,11653.2993891883,0.0,1410.2138839842455,0.0,0.0,0.0,0.0,0.0,0.0,9574.630099484137,0.0,"(((A,C),D),B)"
11790.363025105777,10113.66627074173,10113.66627074173,34779.16900913391,0.0,0.0,1676.6967543640462,0.0,0.0,0.0,22988.80598402813,0.0,0.0,0.0,"(((B,C),A),D)"
11048.80921519417,11048.80921519417,20233.26658131521,11954.971006450092,906.1617912559234,0.0,0.0,0.0,0.0,0.0,0.0,8278.295574865117,0.0,0.0,"(((A,B),D),C)"
19626.344531858995,11879.932649693463,11879.932649693463,46041.78887796422,0.0,0.0,7746.411882165533,0.0,0.0,0.0,26415.444346105225,0.0,0.0,0.0,"(((B,C),A),D)"
10178.071271393772,14810.189745905336,10178.071271393772,14810.189745905336,0.0,7941.632818694214,0.0,0.0,3309.514344182651,0.0,0.0,0.0,0.0,0.0,"((A,C),(B,D))"
13323.133751278361,11267.216019014251,19662.074989495573,11267.216019014251,0.0,0.0,0.0,0.0,2055.917732264109,0.0,0.0,6338.941238217214,0.0,0.0,"(((B,D),A),C)"
10094.431175125064,10094.431175125064,10259.442907643645,17196.43961295853,165.01173251858032,0.0,0.0,0.0,0.0,0.0,6936.996705314883,0.0,0.0,0.0,"(((A,B),C),D)"
14377.889468986592,11938.451885492936,11938.451885492936,18768.533358749424,0.0,0.0,2439.437583493656,0.0,0.0,0.0,4390.643889762834,0.0,0.0,0.0,"(((B,C),A),D)"
12298.321561858129,10299.39029037824,10299.39029037824,12298.321561858129,0.0,0.0,4678.787463117317,2679.8561916374274,0.0,0.0,0.0,0.0,0.0,0.0,"((A,D),(B,C))"
10564.43402564288,10862.037077665986,10564.43402564288,11169.590001623264,0.0,297.6030520231059,0.0,0.0,0.0,0.0,307.5529239572788,0.0,0.0,0.0,"(((A,C),B),D)"
13457.212193288819,27010.72082879057,27010.72082879057,13457.212193288819,0.0,0.0,4934.212864299698,18487.72149980145,0.0,0.0,0.0,0.0,0.0,0.0,"((A,D),(B,C))"
15725.057629552863,11130.969807918402,15725.057629552863,11130.969807918402,0.0,2449.886728960625,0.0,0.0,7043.974550595087,0.0,0.0,0.0,0.0,0.0,"((A,C),(B,D))"
11048.335690277621,11048.335690277621,14010.664914566558,26264.765666356372,2962.3292242889374,0.0,0.0,0.0,0.0,0.0,12254.100751789814,0.0,0.0,0.0,"(((A,B),C),D)"
17961.624914682234,15006.831629592298,14572.219490738318,14572.219490738318,0.0,0.0,0.0,0.0,0.0,434.6121388539795,0.0,0.0,0.0,2954.7932850899365,"(((C,D),B),A)"
18057.412835071147,12812.33885695084,18057.412835071147,12812.33885695084,0.0,593.0275401288568,0.0,0.0,5838.101518249165,0.0,0.0,0.0,0.0,0.0,"((A,C),(B,D))"
15027.167067688482,15027.167067688482,11153.138256668337,11153.138256668337,186.5053987840791,0.0,0.0,0.0,0.0,4060.5342098042247,0.0,0.0,0.0,0.0,"((A,B),(C,D))"
11345.992194292578,11810.83076598012,11345.992194292578,11810.83076598012,0.0,1674.634069993013,0.0,0.0,1209.795498305471,0.0,0.0,0.0,0.0,0.0,"((A,C),(B,D))"
13860.183484300853,29164.074203268017,14538.458416048896,13860.183484300853,0.0,0.0,0.0,678.2749317480432,0.0,0.0,0.0,0.0,14625.615787219122,0.0,"(((A,D),C),B)"
16314.329921980614,16314.329921980614,12422.908645149932,12422.908645149932,705.4562097403378,0.0,0.0,0.0,0.0,4596.87748657102,0.0,0.0,0.0,0.0,"((A,B),(C,D))"
18754.87533160423,11394.417413975758,11394.417413975758,12708.670665748696,0.0,0.0,1314.2532517729385,0.0,0.0,0.0,0.0,0.0,0.0,6046.2046658555355,"(((B,C),D),A)"
15422.063682711138,11850.22379065327,15422.063682711138,11850.22379065327,0.0,1906.4961746045344,0.0,0.0,5478.336066662401,0.0,0.0,0.0,0.0,0.0,"((A,C),(B,D))"
12409.106123133453,12494.23785183491,12409.106123133453,12494.23785183491,0.0,65409.99429108572,0.0,0.0,65324.86256238427,0.0,0.0,0.0,0.0,0.0,"((A,C),(B,D))"
15064.729962872882,18834.39117589708,15064.729962872882,31674.218818269735,0.0,3769.661213024198,0.0,0.0,0.0,0.0,12839.827642372657,0.0,0.0,0.0,"(((A,C),B),D)"
10158.373322209794,10158.373322209794,11118.00364278422,12015.511327215176,959.6303205744271,0.0,0.0,0.0,0.0,0.0,897.5076844309549,0.0,0.0,0.0,"(((A,B),C),D)"
10585.172343975993,12172.440351047751,10585.172343975993,23468.903004027132,0.0,1587.2680070717581,0.0,0.0,0.0,0.0,11296.462652979382,0.0,0.0,0.0,"(((A,C),B),D)"
32805.21806113134,12167.398247602729,12167.398247602729,16391.519704622333,0.0,0.0,4224.121457019605,0.0,0.0,0.0,0.0,0.0,0.0,16413.69835650901,"(((B,C),D),A)"
10531.766695023074,10531.766695023074,11982.76345985086,11982.76345985086,2362.4729211384442,0.0,0.0,0.0,0.0,911.47615631066,0.0,0.0,0.0,0.0,"((A,B),(C,D))"
18189.06637347019,10464.496451582976,10464.496451582976,19769.56274150063,0.0,0.0,7724.569921887212,0.0,0.0,0.0,1580.4963680304418,0.0,0.0,0.0,"(((B,C),A),D)"
10618.366873984916,11224.174902342957,10618.366873984916,11224.174902342957,0.0,23527.60393228736,0.0,0.0,22921.79590392932,0.0,0.0,0.0,0.0,0.0,"((A,C),(B,D))"
14368.034345587028,11701.669634711712,20141.28610684097,11701.669634711712,0.0,0.0,0.0,0.0,2666.3647108753153,0.0,0.0,5773.251761253942,0.0,0.0,"(((B,D),A),C)"
28603.069738095117,34277.224403209555,18486.1740661737,18486.1740661737,0.0,0.0,0.0,0.0,0.0,10116.895671921418,0.0,0.0,5674.15466511444,0.0,"(((C,D),A),B)"
17101.670693085875,21437.67290786395,15609.873878721628,15609.873878721628,0.0,0.0,0.0,0.0,0.0,1491.7968143642481,0.0,0.0,4336.002214778077,0.0,"(((C,D),A),B)"
